agglosID,n1000000,n100000,n50000,n20000,n10000,n7500,n5000,n2500,n1500,n1000,n750,n500,n400,n300,n250,n200,n175,n150,n125,n100,n90,n80,n70,n60,n50,n40,n30,n20,n10,n5,n0,a1000000,a100000,a50000,a20000,a10000,a7500,a5000,a2500,a1500,a1000,a750,a500,a400,a300,a250,a200,a175,a150,a125,a100,a90,a80,a70,a60,a50,a40,a30,a20,a10,a5,a0,CITY,COUNTRY,NSMALL B
1,0,0,0,0,5.68E-05,0.000193013,0.000658515,0.002906548,0.006834929,0.012341474,0.018120508,0.031290802,0.042951054,0.066282912,0.08842263,0.115421733,0.134053158,0.161279335,0.205502004,0.264473131,0.289644289,0.316779636,0.347116727,0.38724071,0.43634547,0.494442363,0.568161949,0.687443941,0.874280459,0.984070756,88077,0,0,0,0,0.006430075,0.017232828,0.042039922,0.111991482,0.18111731,0.242221333,0.288358295,0.361047237,0.408631953,0.481671618,0.537076611,0.592499447,0.624336686,0.664638648,0.720012977,0.780564048,0.80243666,0.823521774,0.844273182,0.86806467,0.892766958,0.916568098,0.940011176,0.966815398,0.991921644,0.999371224,9622779.684,10 Ramadan,EGY,38432
1002,0,0,0,0,0,0,0,0.000346021,0.000346021,0.000692042,0.001384083,0.002422145,0.005190311,0.011764706,0.019031142,0.037370242,0.048788927,0.073702422,0.120415225,0.178546713,0.210380623,0.250519031,0.28650519,0.325605536,0.367474048,0.418685121,0.496885813,0.61349481,0.830103806,0.978546713,2890,0,0,0,0,0,0,0,0.018286274,0.018286274,0.024583374,0.033880967,0.045095069,0.066379723,0.103833753,0.138768451,0.210057238,0.247434876,0.317155255,0.428353839,0.541143255,0.594171372,0.654138369,0.701086691,0.745407562,0.785245562,0.825337416,0.872633874,0.923227818,0.978757747,0.998403687,165219.3508,al-Sanafin al-Bahriyya,EGY,1062
1003,0,0,0,0,0,0,0,0,0,0.000122895,0.000122895,0.000614477,0.001106059,0.003932653,0.008233993,0.019048789,0.030109377,0.047929212,0.07103355,0.112817992,0.135307853,0.160747204,0.190364999,0.221826226,0.257711687,0.307607226,0.376797345,0.492933514,0.73270247,0.967678506,8137,0,0,0,0,0,0,0,0,0,0.00409083,0.00409083,0.010707948,0.015856598,0.038797877,0.066902254,0.125419904,0.175555925,0.245480562,0.322263561,0.435187263,0.48688595,0.539357002,0.593137842,0.642615416,0.690512149,0.744707359,0.802915095,0.871912578,0.955069721,0.996561244,335441.7293,al-Sanafin al-Qibliyya,EGY,2097
1006,0,0,0,0,0,0,0,1.42E-05,2.85E-05,4.27E-05,0.000256257,0.001978873,0.004171294,0.010805501,0.019589419,0.037968737,0.054653911,0.08099143,0.121565445,0.181287549,0.209703596,0.243429857,0.280786424,0.323040346,0.372085077,0.428874463,0.50812904,0.625053387,0.827652971,0.979826884,70242,0,0,0,0,0,0,0,0.000670027,0.001075274,0.001344737,0.004570884,0.022263778,0.039369903,0.07926082,0.121370215,0.19319411,0.248187922,0.323247003,0.421130334,0.539017269,0.586631815,0.63718309,0.686574169,0.734955616,0.782486055,0.827366185,0.875888482,0.926630986,0.978570876,0.998466067,3979026.402,al-Santa,EGY,26136
1007,0,0,0,0,0,0,0,0,0,0,0,0,4.29E-05,8.59E-05,0.00025761,0.000558156,0.000815766,0.002361427,0.003950024,0.007041346,0.008758748,0.012064746,0.017860976,0.027564295,0.0495041,0.140569319,0.287020738,0.461723412,0.755828432,0.980464557,23291,0,0,0,0,0,0,0,0,0,0,0,0,0.000775186,0.001493881,0.003493827,0.006375782,0.008467106,0.019192204,0.028630891,0.043802005,0.050883095,0.063091319,0.081830764,0.109031977,0.160024344,0.335807718,0.552885496,0.743385141,0.92363771,0.996233826,537238.3282,al-Sanwa,SDN,1153
1009,0,0,0,0,0,0,0,0,0,0,0,0.000520291,0.000867152,0.003468609,0.009365245,0.02688172,0.039021852,0.06503642,0.110301769,0.182101977,0.215400624,0.254942768,0.302115852,0.354144988,0.411550468,0.47311828,0.547173084,0.659902879,0.849462366,0.979882067,5766,0,0,0,0,0,0,0,0,0,0,0,0.005165633,0.008018357,0.023668257,0.052218563,0.122138206,0.162558477,0.237405469,0.347697807,0.491648836,0.548023326,0.6078724,0.670977577,0.731307899,0.787727504,0.837051359,0.883055075,0.932346862,0.981141088,0.998455389,323052.5018,al-Satamuni,EGY,2373
101,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13E-05,0.000547695,0.001004108,0.00182565,0.002555911,0.003833866,0.005568234,0.007028754,0.008945687,0.012231858,0.018804199,0.030944774,0.047740758,0.093929712,0.250387951,0.629210406,0.969420356,10955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001670162,0.009366692,0.015266361,0.024384794,0.031346841,0.041673586,0.053102228,0.061321636,0.071141671,0.085715828,0.111275203,0.150989007,0.19621675,0.290623414,0.519073528,0.840795079,0.991634527,182017.3313,Abu Karshulh Khawr al-Taina,SDN,339
1010,0,0,0,0,0,0,0,0,0,0.000165144,0.000605527,0.003247826,0.006605747,0.014477596,0.026092701,0.049047671,0.0691952,0.097875151,0.143014423,0.219861279,0.253495541,0.288395904,0.325498183,0.36579324,0.413189475,0.46658593,0.536716944,0.646537488,0.841792359,0.975889023,18166,0,0,0,0,0,0,0,0,0,0.003404309,0.009221679,0.03321424,0.056559459,0.098968938,0.148833098,0.229776592,0.289001457,0.362190626,0.459435823,0.595201448,0.645551933,0.692253293,0.736180177,0.777615592,0.818873634,0.856601217,0.895263261,0.937796099,0.98302595,0.998328006,1150869.844,al-Sawa,EGY,7506
1019,0,0,0,0,0,0,0,0,0,0,0,0,0.000118977,0.000832838,0.001546698,0.00261749,0.003688281,0.005234979,0.008209399,0.011778703,0.014753123,0.017370613,0.02415229,0.028792385,0.035930993,0.051397977,0.079000595,0.302795955,0.739202855,0.964187983,8405,0,0,0,0,0,0,0,0,0,0,0,0,0.002633513,0.015311739,0.025704795,0.038414611,0.048772675,0.062114117,0.083215386,0.104156804,0.118963975,0.130608593,0.157139013,0.17272522,0.193270539,0.229256119,0.278470973,0.555336073,0.906276127,0.991495448,160080.5236,al-Shagarab al-Shamali,SDN,302
1022,0,0,0,0,0,0,0,0.000316656,0.000633312,0.000633312,0.000633312,0.002533249,0.004433186,0.008866371,0.015199493,0.032932236,0.048131729,0.082013933,0.133312223,0.217542749,0.253958201,0.29480684,0.338188727,0.385053832,0.441101963,0.503799873,0.571880937,0.662127929,0.845155161,0.973717543,3158,0,0,0,0,0,0,0,0.01836494,0.030093062,0.030093062,0.030093062,0.04797274,0.061188938,0.085350811,0.1130095,0.175903627,0.220586261,0.307906024,0.418498739,0.56662203,0.62110276,0.675825099,0.727229449,0.775159584,0.823589836,0.868213958,0.905713216,0.940427257,0.983231152,0.998123224,199784.2998,al-Shahid 6 & Kum Umbu,EGY,1393
